Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	parkinsons_gene	stuttering_gene	tic_gene
ABHD12B	Abhydrolase Domain Containing 12B	Protein Coding	Q7Z5M8	42	GC14P050872	0.681229293346405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD12B	False	False	True	False
ABHD13	Abhydrolase Domain Containing 13	Protein Coding	Q7L211	43	GC13P108218	1.96259796619415	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD13	True	False	False	False
ABHD14A	Abhydrolase Domain Containing 14A	Protein Coding	Q9BUJ0	43	GC03P065087	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14A	True	False	False	False
ABHD14B	Abhydrolase Domain Containing 14B	Protein Coding	Q96IU4	44	GC03M051968	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14B	True	False	False	False
ABHD17C	Abhydrolase Domain Containing 17C, Depalmitoylase	Protein Coding	Q6PCB6	44	GC15P080679	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD17C	True	False	False	False
ABHD5	Abhydrolase Domain Containing 5, Lysophosphatidic Acid Acyltransferase	Protein Coding	Q8WTS1	58	GC03P044257	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD5	True	False	False	False
ABI1	Abl Interactor 1	Protein Coding	Q8IZP0	56	GC10M026746	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI1	True	True	False	False
ABI3	ABI Family Member 3	Protein Coding	Q9P2A4	47	GC17P049210	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI3	False	True	False	False
ABITRAM	Actin Binding Transcription Modulator	Protein Coding	Q9NX38	38	GC09P108954	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABITRAM	True	False	False	True
ABL1	ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase	Protein Coding	P00519	65	GC09P130713	5.56488561630249	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1	False	True	False	False
ABLIM1	Actin Binding LIM Protein 1	Protein Coding	O14639	44	GC10M114571	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABLIM1	True	False	False	False
ABLIM3	Actin Binding LIM Protein Family Member 3	Protein Coding	O94929	44	GC05P149141	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABLIM3	False	True	False	False
ABO	ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase	Protein Coding	P16442	49	GC09M133250	3.94696760177612	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO	True	False	False	False
ABRAXAS1	Abraxas 1, BRCA1 A Complex Subunit	Protein Coding	Q6UWZ7	50	GC04M083464	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABRAXAS1	True	False	False	False
ABT1	Activator Of Basal Transcription 1	Protein Coding	Q9ULW3	45	GC06P181726	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1	True	True	False	False
ACAA1	Acetyl-CoA Acyltransferase 1	Protein Coding	P09110	54	GC03M038103	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA1	True	False	False	False
ACACA	Acetyl-CoA Carboxylase Alpha	Protein Coding	Q13085	62	GC17M037084	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA	True	True	False	False
ACAD8	Acyl-CoA Dehydrogenase Family Member 8	Protein Coding	Q9UKU7	56	GC11P134253	3.30658483505249	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD8	True	False	False	False
ACAD9	Acyl-CoA Dehydrogenase Family Member 9	Protein Coding	Q9H845	57	GC03P143107	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD9	True	True	True	False
ACADL	Acyl-CoA Dehydrogenase Long Chain	Protein Coding	P28330	53	GC02M210187	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADL	True	False	False	False
ACADM	Acyl-CoA Dehydrogenase Medium Chain	Protein Coding	P11310	59	GC01P075724	3.92261171340942	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM	True	False	False	False
ACADS	Acyl-CoA Dehydrogenase Short Chain	Protein Coding	P16219	58	GC12P138900	4.93395233154297	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS	True	False	False	False
ACADSB	Acyl-CoA Dehydrogenase Short/Branched Chain	Protein Coding	P45954	58	GC10P123008	2.74776268005371	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADSB	True	False	False	False
ACADVL	Acyl-CoA Dehydrogenase Very Long Chain	Protein Coding	P49748	59	GC17P153721	7.80479955673218	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADVL	True	False	False	False
ACAN	Aggrecan	Protein Coding	P16112	60	GC15P193892	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAN	True	True	False	False
ACAP3	ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 3	Protein Coding	Q96P50	47	GC01M001292	0.984545171260834	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAP3	False	True	False	False
ACAT2	Acetyl-CoA Acetyltransferase 2	Protein Coding	Q9BWD1	59	GC06P183876	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT2	True	True	False	False
ACBD4	Acyl-CoA Binding Domain Containing 4	Protein Coding	Q8NC06	48	GC17P154922	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD4	True	False	False	False
ACBD5	Acyl-CoA Binding Domain Containing 5	Protein Coding	Q5T8D3	51	GC10M027182	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD5	True	False	False	False
ACBD6	Acyl-CoA Binding Domain Containing 6	Protein Coding	Q9BR61	50	GC01M186864	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD6	False	True	False	True
ACE	Angiotensin I Converting Enzyme	Protein Coding	P12821	64	GC17P063477	6.37612390518188	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE	True	True	False	True
ACE2	Angiotensin Converting Enzyme 2	Protein Coding	Q9BYF1	62	GC0XM015494	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2	True	True	False	True
ACER3	Alkaline Ceramidase 3	Protein Coding	Q9NUN7	50	GC11P076860	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACER3	False	True	False	False
ACHE	Acetylcholinesterase (Yt Blood Group)	Protein Coding	P22303	61	GC07M100889	6.83373785018921	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE	True	True	False	True
ACKR3	Atypical Chemokine Receptor 3	Protein Coding	P25106	52	GC02P236537	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR3	False	True	False	False
ACLY	ATP Citrate Lyase	Protein Coding	P53396	59	GC17M041866	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY	False	True	False	False
ACMSD	Aminocarboxymuconate Semialdehyde Decarboxylase	Protein Coding	Q8TDX5	50	GC02P134838	5.42906284332275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACMSD	False	True	False	False
ACO1	Aconitase 1	Protein Coding	P21399	56	GC09P032374	4.84325504302979	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO1	True	True	False	True
ACO2	Aconitase 2	Protein Coding	Q99798	59	GC22P092273	4.08882904052734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2	True	True	False	False
ACO2P1	ACO2 Pseudogene 1	Pseudogene		7	GC22M086288	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2P1	True	False	False	False
ACOD1	Aconitate Decarboxylase 1	Protein Coding	A6NK06	38	GC13P076949	0.285715848207474	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOD1	False	False	False	True
ACOT13	Acyl-CoA Thioesterase 13	Protein Coding	Q9NPJ3	48	GC06P024667	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT13	True	False	False	False
ACOT8	Acyl-CoA Thioesterase 8	Protein Coding	O14734	47	GC20M045841	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT8	True	True	False	False
ACOX1	Acyl-CoA Oxidase 1	Protein Coding	Q15067	58	GC17M075941	14.2557973861694	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX1	True	True	False	False
ACOX2	Acyl-CoA Oxidase 2	Protein Coding	Q99424	57	GC03M058506	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX2	True	False	False	False
ACOX3	Acyl-CoA Oxidase 3, Pristanoyl	Protein Coding	O15254	52	GC04M008510	1.71298503875732	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX3	True	False	False	False
ACP1	Acid Phosphatase 1	Protein Coding	P24666	55	GC02P001239	0.969999611377716	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1	True	False	False	True
ACP2	Acid Phosphatase 2, Lysosomal	Protein Coding	P11117	51	GC11M139449	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP2	True	False	False	False
ACP3	Acid Phosphatase 3	Protein Coding	P15309	55	GC03P143221	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP3	False	True	False	False
ACP6	Acid Phosphatase 6, Lysophosphatidic	Protein Coding	Q9NPH0	51	GC01M167082	4.02341747283936	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP6	True	False	False	False
ACSBG1	Acyl-CoA Synthetase Bubblegum Family Member 1	Protein Coding	Q96GR2	51	GC15M078167	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSBG1	True	False	False	False
ACSBG2	Acyl-CoA Synthetase Bubblegum Family Member 2	Protein Coding	Q5FVE4	48	GC19P006135	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSBG2	True	False	False	False
ACSF3	Acyl-CoA Synthetase Family Member 3	Protein Coding	Q4G176	55	GC16P089088	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSF3	True	True	False	False
ACSL1	Acyl-CoA Synthetase Long Chain Family Member 1	Protein Coding	P33121	59	GC04M184755	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL1	True	True	False	False
ACSL4	Acyl-CoA Synthetase Long Chain Family Member 4	Protein Coding	O60488	60	GC0XM109624	3.2149076461792	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL4	True	True	False	False
ACSL5	Acyl-CoA Synthetase Long Chain Family Member 5	Protein Coding	Q9ULC5	54	GC10P112374	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL5	False	True	False	False
ACSL6	Acyl-CoA Synthetase Long Chain Family Member 6	Protein Coding	Q9UKU0	52	GC05M131949	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL6	True	False	False	False
ACSM3	Acyl-CoA Synthetase Medium Chain Family Member 3	Protein Coding	Q53FZ2	50	GC16P020610	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM3	False	True	False	False
ACSM6	Acyl-CoA Synthetase Medium Chain Family Member 6	Protein Coding	Q6P461	40	GC10P095194	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM6	False	True	False	False
ACTA1	Actin Alpha 1, Skeletal Muscle	Protein Coding	P68133	61	GC01M230668	4.43130540847778	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA1	True	True	False	False
ACTA2	Actin Alpha 2, Smooth Muscle	Protein Coding	P62736	61	GC10M088935	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2	True	True	False	False
ACTA2-AS1	ACTA2 Antisense RNA 1	RNA Gene		25	GC10P088932	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2-AS1	True	False	False	False
ACTB	Actin Beta	Protein Coding	P60709	63	GC07M005854	14.5772666931152	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB	True	True	False	True
ACTBL2	Actin Beta Like 2	Protein Coding	Q562R1	42	GC05M057480	0.304524540901184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTBL2	False	True	False	True
ACTC1	Actin Alpha Cardiac Muscle 1	Protein Coding	P68032	58	GC15M034790	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1	True	True	False	True
ACTG1	Actin Gamma 1	Protein Coding	P63261	60	GC17M081509	1.25747406482697	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1	True	True	False	True
ACTG1P17	Actin Gamma 1 Pseudogene 17	Pseudogene		10	GC15M082725	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1P17	True	False	False	False
ACTG1P22	Actin Gamma 1 Pseudogene 22	Pseudogene		8	GC02P057764	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1P22	True	False	False	False
ACTG1P23	Actin Gamma 1 Pseudogene 23	Pseudogene		7	GC03M175977	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1P23	True	False	False	False
ACTG2	Actin Gamma 2, Smooth Muscle	Protein Coding	P63267	56	GC02P073892	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG2	True	True	False	False
ACTL11P	Actin Like 11, Pseudogene	Pseudogene		8	GC03M054941	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL11P	True	False	False	False
ACTL6A	Actin Like 6A	Protein Coding	O96019	53	GC03P179562	0.953969299793243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL6A	True	False	False	False
ACTL6B	Actin Like 6B	Protein Coding	O94805	54	GC07M100643	6.34616184234619	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL6B	True	False	False	False
ACTL7A	Actin Like 7A	Protein Coding	Q9Y615	47	GC09P108862	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTL7A	True	False	False	False
ACTN1	Actinin Alpha 1	Protein Coding	P12814	62	GC14M068874	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1	True	True	False	False
ACTN2	Actinin Alpha 2	Protein Coding	P35609	60	GC01P236686	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN2	True	False	False	True
ACTN4	Actinin Alpha 4	Protein Coding	O43707	60	GC19P038647	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN4	True	False	False	False
ACTR2	Actin Related Protein 2	Protein Coding	P61160	54	GC02P065227	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR2	False	True	False	False
